일자,언론사,제목,통합 분류1,키워드,특성추출
1997-01-01,경향신문,갈루치 전 미 핵대사가 본 (새해 한반도 기류),정치-외교,"갈루치,기류,새해,한반도,경수로,역할,남북,교류,촉매,통일,열차,한국,운전석,남북대화,진전,환상,잠수함,사건,침해,제네바,합의,사과,붕괴,시장,경제,이행,대담,워싱턴,박인규,특파원,미국,대북한정책,제네바,일종,나침반,역할,미국,북한,행동,제네바,합의,이행,여부,판단,한국,우방국,합의,이행,강조,협상대표,제네바,미국,협상,대표,로버트,로버트,갈루치,전핵,대사,남북한,전망,조지타운대,국제,대학원,에드먼드,월시,스쿨,오브,포린,서비스,원장,자리,갈루치,핵대사,공직,만큼,의견,인터뷰,제네바협상,이익,윈스턴,로드,국무부,동아,차관보,제네바,최대,클린턴,행정부,대외,정책,성과,그중,자랑,북한,협상대표,평가,동의,최대,성과,찬사,성공,협상,미국,한국,일본,성공적,협상,북한,유익,협상,사람,협상,제로섬,게임,생각,미국,만큼,북한,협상,생각,미국,북한,핵계획,미국,한국,일본,안보,의무,규모,핵무기,한반도및,동북아,안보,북한,핵무기,한국및,일본,안보,위협,광범위,방지,50년,미국,대외,정책,근간,국제,테러,지원,호전,성향,북한,핵무기,보유,지역,위협,지구,위협,판단,발생,잠수,침투,사건,북한,유감,표명,그동안,북한,형태,한국,유감,표명,강조,유사,사건,약속,재발,방지,중요,지적,북한,잠수,침투,사건,사건,대응,의미,년간,한국,도발행위,의미,북한및,국제사회,규정,제네바,합의,잠수함,사건,발생,중대,제네바,합의,북한,행동,한국,북한,사과,요구,북한,의무,미국,일각,사건,북한,활동중,통상,정보,수집,활동,발생,사고,한국측,과잉반응,비판,북한,잠수함,침투,통상,정보활동,군사도발,여부,판단,한국정부,정확,파악,잠수함사건,한국정부,분노,생각,적국,잠수,뉴욕시,부근,롱아일랜드,해변,좌초,분노,미국인,잠수함사건,해결,남북한,진전,제네바합의,한국기업,계약자,50억,달러,규모,경수로,건설,사업,시행,남북간,경제교류,초기,경수로,건설,한국,기술자,기술자들,북한,무역,경제,제재,완화,조치,남북간,직접대화,정치,분위기,조성,과거,정반대,92년,실질적,조성,남북대화,선행,대화,실질적,바탕,제네바합의,정상회담,포함,남북간,정치,대화,지탱,만큼,현실적,마련,도움,남북대화,성공,필수적,한국,정치,지지,중요,제네바합의,경제교류,남북,대화,궤도,확신,남북대화,단기적,한반도,긴장,완화,초기,남북대화,성공적,김영삼,정부,북한측,비난공세,상봉,남북한,이산가족,초보,수준,남북교류,시작,4자,회담,결국,수용,북한,남북관계,미관계,희망,표현,북한,기본전략,한국,미국,양자,협상,집중,전략,성공,북한,한국,대화,북한,한국,통일협상,남북한,직접적,비교,식량난,정권,자체,취약,북한,서울,워싱턴,미국,기회,북한,남북대화,촉구,4자,회담,제안,남북,대화,촉진,4자,회담,남북간,직접대화,중요,미국,정부,공식,입장,자신,개인,견해,4자,회담,유일,장점,한국,북한,테이블,만일,남북,워싱턴,북경,중재자,대화,축복,한국및,미국,정부,4자,회담,제안,남북간,직접대화,워싱턴,북경,중재자,사이,4자,회담,남북대화,성사,현실적,방안,판단,북한,4자,회담,수락,여부,예측,예측,영역,대답,수락,수락,북한,4자,회담,수락,대가,한국,미국,가능,미국,대북한정책,순위,핵확산,저지,북한정권,붕괴,예방,부부장,제네바,협상,도중,강석주,북한,외교,미국,북한,차례,불평,북한정권,붕괴,미국,정책목표,대답,동시,미국,북한정권,지지,미국,북한,정치,경제체제,행동양식,북한체제,민주사회,시장경제,이행,북한,정권,붕괴,미국,정책,핵확산,저지,미국,범위내,한반도,긴장완화,기여,저지,확산,국무장관,워런,크리스토퍼,국무,장관,신임,매들린,올브라이트,장관,스타일,클린턴,대한반도,정책,변화,예측,의견,한반도정책,변화,크리스토퍼,장관,인물,올브라이트,장관,매파,명성,직설적,화법,사람,민주주의,인권,증진,미국,외교,정책,추구,올브라이트,장관,유엔주재,대사,외교팀,클린턴,외교,일원,특별,변화,공직,입장,얘기,그동안,서울,워싱턴간,제네바합의,이견,지적,이견,전술,차원,전략,차원,이견,서울,북한,접촉,경험,북한,자부,미국,한국,경험,반복,전술,이견,한반도,통일,생각,한반도,미래,한마디,한국,열쇠,한반도,통일,민주사회,시장경제,지향,한국정부,주도하,통일,모습,한국,정부,정치,용기,한국,국민,정치,성숙,사태,도발적,공정,보도,한국,언론,책임감,북한,통일,한국,통합,조건들,한국,결정,의미,한국,통일,열차,운전석,변화,대북,정책,통일,한국,동북아,안보,요인,의견들,엊그제,도쿄,일본,학자,한반도,통일,의견,한국,일본,한반도,통일,생각,일본,한국,통일,환영,한반도,통일,중국,일본,학자,대답,중국,통일,한국,일본,동맹,중국,대항세력,북경,중국인들,의견,대답,미국,한반도,분단,동북아,근원,한반도,긴장완화,통일,한국,갈루치,학장,개인,면모,관심,개인,이력,부모,출신,이탈리아,남부,나폴리,인근,미국,뉴욕주,롱아일랜드,아버지,이탈리아,어머니,미국,성장,1.5세,이민,브랜다이스,대학,박사학위,스와스모어,대학,존스홉킨스,대학,강의,21년,국무부,카터행정부,국무부,정책,기획,실장,앤서니,레이크,전공,정책,북한,지역,안보,분야,거리,심스,아내,제니퍼,전공,국무부,정보,조사,부차관보,제시카,발레리나,아들,니컬러스,야구,축구,특기,약력,로버트,갈루치,뉴욕주,롱아일랜드,출생,뉴욕주립대,졸업,브랜다이스대,정치학,박사,존스홉킨스대,조지타운대,정치,교수,국무부,군사담당차관보,대학원장,제네바,미국,대표,조지타운대,국제","한국,미국,제네바,국무부,갈루치,클린턴,일본,남북대화,남북한,워싱턴,4자,조지타운대,경수로,롱아일랜드,로버트,남북간,동북아,잠수함,만큼,이탈리아,크리스토퍼,핵무기"
1997-01-01,세계일보,집권 마무리­정권 재창출 '큰짐'-(문민 1기) 결산,정치-외교,"집권,마무리,정권,큰짐,문민,1기,결산,대통령,권력누수방지,경제회생,당면,현안,개혁승계,마지막해,후임자,당선,최대,숙제,집권,마지막,김영삼,대통령,재임,정리,권력이양,준비작업,김대통령,최대과제,임기말,안정적,국정운영,정권,집권말기,권력누수,방지,연말,대통령선거,승리,김대통령,당면목표,단기적,여권,차기대권주자들,관리문제,직결,효과적,통제,권력,최고책임자,생리,국정,최고,책임자,장악력,약화,마련,대선후보,최종결정,건재,과시,국정,전반,영향력,행사,김대통령,신한국당,대권논,자제,당부,대권문제,거론,자체,불이익,경고,김대통령,여권,대선,후보,결정,시기,생각,선출,신한국당,대권,후보,전당,대회,개최,대권,후보,결정,시기,선거,9월,상정,후보결정,예상,당내갈등,후유증,최소화,조치,최대관심사,후보결정,김심,향배,선택,당선가능성,개혁,정책,승계,차기정권,성격,염두,공동집권론,모색,야권,움직임,후보선정,주요변수,경제문제,김대통령,고민거리,김대통령,최대과제,경제회복,희생,감수,경제,회생,강조,정도,비용,경제,구조,개선,경제정책,추진,경기,회복,전망,불투명,경기전망,지배,연말,경기,회복세,관측,실정,노동법,개정,노사관계,악화,침체,경제상황,제기,경제,구조적,원인,만큼,단기간,해결,사안,지적,경제난,정치,부담,작용,대선,결정적,악재,가능성,김기홍,대통령,새해,외교,정치,연장,안보,경제,중점,정책조율,개방유,정책,조율,총력,OECD가입,협력,강화,김영삼,대통령,새해외교,안보외교,경제외교,중심,한반도,동북아정세,기류,형성,국제사회,경쟁,치열,한반도문제,국제사회,지지,확보,국가경쟁력,외교과제,김대통령,주변국,미국,일본,관계강화,북한,개방,유도,외교환경,4자,회담,성사,북한,외교,압력,한편,미국,대북,정책,조율,강화,북한,김일성사망,즈음,김정일,주석직,승계,모종,변화,가능성,김대통령,경제실리,추구,세일즈외교,전개,전망,세계무역기구,WTO,경제협력개발기구,OECD,아태경제협력체,APEC,국제기구,정상외교,경제,활로,모색,국제경쟁력,강화,주력,예상,김대통령,양국,교역,투자확대등,실질협력,토대,마련,현지,진출,기업들,자유,활동,환경,조성,관심,과거,해외,순방,횟수,김대통령,3차례,순방외교,방한,외국정상들,회담,14건,일본,실무방문,밴쿠버,캐나다,APEC정상회의,참석,일정,김대통령,퇴임,만큼,외교,제안,그동안,논의,외교,현안,점검,치중,김기홍,한국,외교안보팀,부총리,5인,보수,한국,외교안보팀,권오기,통일,부총리,팀장,유종하,외무,김동진,국방장관,반기문,청와대외교안보수석,권영해,안기부장,5인,구성,보수,강경,팀컬러,유지,북한,당근,채찍,사용,불사,입장,견지,외교,안보,경력등,학연,지연,경력,권부총리,유장관,반수석,사이,서울대,선후배,권부총리,법대,유외무,정치학과,반수석,외교학,출신,김장관,육사,출신,권부장,15기,김장관,17기,권부총리,유장관,출신,경북,안동,사이,고향,선후배,권부장,출신,경북,월성,3인,TK,대구,경북,분류,유장관,반수석,외무부,선후배,사이,유장관,고시,반수석,외시,외교안보팀,권부총리,통일부총리,통일,부총리,발탁,언론,외길,경향신문,언론인생활,시작,동아일보,워싱턴,도쿄,특파원,정치부장,편집국장,주필,상무,전무,역임,사장,국기,북한,외교안보팀,두축,운영,일변도,노선,견지,사망,김일성,주석,체제위기,경제난,북한,외교,사활,미국,미국,일변도,노선,추구,북한,외교,행정부쪽,외교부,노동당측,국제부,기구,책임자들,김정일,비서,충성심,보수파,주류,김정일,비서,제외,북한,외교,최고간판,외교부장,김영남,부총리,김부장,정치국원,당서열,황장엽,노동당,국제,비서,북한,최고,이론가,주체사상,1인자,당서열,사회,과학자,협회,위원장,최고인민회의,외교,위원장,황비서,김일성대학,총장,역임,영문,대외적,지명도,1부부장,강석주,외교,서열,북한,외교,실무적,총괄,핵심인물,초반,대미외교,일선,94년,제네바,주인공,미국,능력,인정,정도,수완가,평가","김대통령,미국,부총리,반수석,경북,권부총리,당서열,위원장,신한국당,5인,유장관,외교안보팀,김정일,만큼,일본,김기홍,차관보,김영남,팀컬러,노동당,책임자,김장관,통일부총리,경제난,강석주,경쟁력,외교부,일변도,대선후보,권부장"
1997-01-01,한겨레,정부서 직접 주택정보 제공한다,경제-서비스_쇼핑,"정부,주택,정보,제공,언론,PC통해,집값,상승,정보,왜곡,한몫,주택가격,안정,실수요자,위주,거래,정착,새해,정부,주택,매매,시세,정보,파악,개인컴퓨터,PC,통신,소비자,제공,차관,유상열,건설,교통부,31일,기관,합동,서울,동향,수도,집값,점검,유통,결과,매물,정보,왜곡,집값,요인,정부,주택가격,매물정보,파악,소비자들,제공,방안,강구,방침,건교부,주택시장,겨울철,비수기,부동산,실거래가격,중심,매매정보,제공,가수요,주택,정보,공정성,신뢰,확보,판단,건교부,내년,정부,부처,부동산중개업소,망라,부동산,대책,회의,구체적,방안들,논의,계획,건교부,주택,정보,수집,지방자치단체,협조,지자체,정기적,동향,파악,보고,지자체,부동산,중개업자,연계망,활용,방안,검토중,건교부,매물정보,전산망,구축,시일,지자체,정보,언론,피시,통신망,공급,계획","부동산,건교부,지자체,매물정보,유상열,연계망,소비자,주택가격,pc,교통부,실수요자,통신망,지방자치단체,겨울철,방안들,실거래가격,개인컴퓨터,비수기,서울,실거래,검토중,기관들,부동산중개업소,매매정보,공정성,전산망,소비자들,한몫,중개업자,가수요,주택시장"
1997-01-01,강원도민일보,(제야의 종)타종식,지역-강원,"제야,종식,제야,타종식,春川,96제야,타종식,崔珏圭,지사,지역,교육,언론,경제계,각게인사들,참석,종각,새벽,삼천동,이날,참석자,타종,새해,지역,발전,도민,무사,안녕,기원","삼천동,타종식,각게인사들,각게,경제계,96제야,春川,참석자,崔珏圭,종각,지역,도민,제야,이날,새해,타종,안녕,경제,인사,무사,참석,언론,교육,지사,발전,기원,종식"
1997-01-01,매일신문,野鼓賦,정치-청와대,"野鼓賦,野鼓賦,사회,하루,민주화,국제화,차이,문민시대,文民時代,뿌리,활착,세계속,한국,은연중,정치,3김,주도,사실,의식저변,전근대,정치의식,스스로,생각,언론들,대통령,지리,대권,大權,표현,왕조시대,절대권력,독재권력,연상,대통령,진노,震怒,대로,표현,대통령,전근대,권위,부각,자세,언론,구각,탈피,대통령,정치현실,차지,위상,位相,자연,발로,12월,대선,大選,투표일,정치,절대,강자,强者,선출,정치권,정권창출,여야,혈안,경제회생,국가안보,대선병,大選病,정치인들,대선열병,나라,학연,지연,대권병,大權病,인물,혜안","정치의식,大權病,대권병,野鼓賦,민주화,대선열병,정치인들,대선병,정치인,大選病,국가안보,경제회생,국제화,세계속,位相,활착,한국,의식저변,문민시대,大選,은연중,强者,文民時代,震怒,언론들,大權,왕조시대,독재권력,전근대,정권창출,투표일,3김,정치권,절대권력,정치현실,정치,대통령,시대,권력,언론,표현,절대,대로,권위,인물,지연"
1997-01-01,전북도민일보,선거 잘 치러야 경제 안정,정치-국회_정당,"선거,경제,안정,전북,선택,국민,통합,후보,선거,유권자,냉정,선택,부이사장,DJ,출마,공식적,3월,국민들,느낌,인식,출마,정당,단일,후보,공동,전선,모색,생각,변수,변화,후보,형태,구성,3김,마지막,결전장,선거,세대교체,자연,변호사,자민련,국민회의,공조,후보단일화,현실감,자민련,사무총장,자민련,DJ,총재,밀담,양당,호남,충청지역,교차방문,양당,송년,행사,일련,공조,야권,공조,대선,상환,예상,사회,DJ,후보단일화,정권교체,JP,내각,실현,전략,대선,정점,변수,생각,여권,견제,공조,시각,가능성,내각,개헌,가능,생각,변호사,국민회의,자민련,내각제,전제,공조,권력구조개편,선거,승리,고리,사용,선거학자,대답,내각제,대통령제,정략적,정치,구도,지역구도속,정적,지역할거주의,정태적,보수적,사람,정치,진출,국민,정치상,부이사장,권력구조상,얘기,DJ,JP,그동안,적대,공조,생각,권력,야당,공조,생각,국민,쟁취,권력,구조,얘기,신한국당,국민회의,대권주자,자유,의사,표현,해당행위,규정,원칙,중요시,민주정치,사회,대선,경제,영향,경제문제,부이사장,정치,경제,영향,경제,정치,영향,표리관계,노동법,파문,나라,노동자들,악법,경영자들,만족,노사,정치권,걱정,한국경제,영향,걱정,경제,4분기,4분기,회생,기미,진단,상당기간,국면,전개,예상,변호사,법학,사람,경제학,생각,정도,마음,외채,무역,적자,누적,경제,해답,국가들,동남아,여타,국가,경제,발전,생각,민주,대가,위안,권위주,체제,경제구조,생각,정치적,민주화,쟁취,만큼,사회,경제,민주화,경제발전,사회,대권후보,국민,지지도,국가경영능력,대권주자,덕목,인물론,상식적,이야기,순수,국민적,공감대,덕목,생각,변호사,되풀,이야기,민주,투쟁,벼랑,정치적,격돌,민주화,사회,경제적,민주화,인물,후보,민주화,시대,도덕성,경륜,능력,후보,학장,도덕적,청렴,순수,국가경영능력,국민,이물수,능력,생각,부이사장,국민,1차,요구,기준,정의감,생각,리더십,의미,연관,문제들,정의,생각,정의,기준,해결,대선주자,사회,민주주의,선택,유권자들,선거,유권자들,대선,역대,선거,유권자들,정치의식,변화,생각,부이사장,역대,선거,국민들,현명,선택,국민,자신,책임,유권자들,국민들,현명,정치지도자들,언론들,여론,조작,부정선거,동원,생각,선거,불법선거,국민,편안,선택,분위기,조성,학장,민주주의,줄기,주민참여,선거,민주주의,완성,지역감정,선택,국민들,무관심,주권포기,유권자,참여,진실,후보,선택,대선,계기,망국적,지역,감정,해소,민주,운동,심정,유권자들,언론,책임,언론,마지막,보루,대선,문화,민주,정치,정착,역사,계기,후보자신,검증,실수,스캔들,언론,국민,단합,용납,장치,변호사,국민들,현명,선택,국민들,생활,간접적,정치,참여,사회,97년,대선,21세기,분수령,통일시대,대비,국제,시대,선진,국가,건설,지역,화합,선거,지상토론,대선,진로,모색,장시간,감사,정리,김태중","민주화,변호사,유권자,부이사장,내각제,자민련,민주주의,국민들,국민회의,유권자들,dj,그동안,국가경영능력,가능성,후보단일화,지지도,대권주자,지상토론"
1997-01-01,전남일보,"서울은 없다… 광주,전남이 곧 중앙",IT_과학-콘텐츠,"서울,광주,전남,중앙,정보화,시대,지방도전,선언,光州,全南,지역,모임,미래넷,丁丑,새해,세기,준비,세기,국제,시대,지방,청년세대,주도,미래넷,21세기,湖南,청년들,세계,경영,웅비,나래,전문역랑,축적,국제,감각,디딤돌,새해,포부,지방,중앙,주변부,세계,경쟁,중심부,미래넷,간사,찬곤씨,30,컴퓨터,프로그래머,청년,세대,접근법,발상법,21세기,지방,도전,가능,강조,중앙,기성세대들,자신들,구축,사회,청산,일정,한계,미래넷,교수,변호사,의사,회사원,문화이론가,예술인,언론인,공무원,스펙트럼,회원들,인터넷상,초대,서로,경험,지식,통합,담론,제공,계획,모임,희원,활동,규련,변호사,분야,청년,전문가,지역발전,토론,서로,경험,충격,미래넷,정기적,정보,경제포럼,청년세대들,문명,조류,감지,세계,인식,지평,확장,계획,포럼,사이버,정당,결성,경식의원,신한국당,민석의원,국민회의,문화,과학,발행인,내희씨,초청,사이버정치,전자민주주의,디지털,혁명,주제,강의,예정,미래넷,세기,정보,시대,대비,지방,확산,지역,정보,마인드,심혈,방침,1백,희원들,인터넷,교육,정보,포럼,인터넷,강의,정기적,정보혁명시대,대비,지방,유용,국제정보,전달,인터넷정보,가공,제공,계획,평오,미래넷,회장,인터넷상,모임,미래넷,丁丑,새해,光州,全南,지역,청년들,네트워크,체제,연결,미래,지도자,지방,세계,경쟁,토대,구축,심혈,포부,李根錫","미래넷,21세기,발행인,변호사,정보화,光州,인터넷상,청년들,광주,전문역랑,공무원,역랑,언론인,나래,예술인,회원들,경식의원,찬곤,전자민주주의,내희,자신들,민석의원,민주주의,회사원,기성세대,경식,1백,신한국당,민석,이론가"
1997-01-01,전남일보,統一은 완성품 아닌 하나의 과정,정치-북한,"統一,완성품,식량난,97남북,전망,대담,판문점,무력시위,잠수함사건,일가족,내부정세,짐작,사건,본보,남북문제,정통,권위자,梁性喆,李東馥,의원,대담자리,마련,남북관계,현안문제,점검,새해,자세,모색,편집자주,梁性喆,새정치국민회의,국회의원,谷城,求禮,졸업,慶熙大,서울대,정치학,졸업,교수,역임,한국,국제,정치학회장,李東馥,자유,민주,국회의원,전국구,정치부,서울대,정치학,졸업,한국일보,외신부차장,남북,고위급,회담,대표,원칙,대북정책,즉흥대응,불신,야기,대책,장기,안목,의문,경제난,수습,능력,유훈통치,상충,영향,金正日,권력,승계,梁性喆,남북관계,다사다난,남북관계,정리,남북관계,새해,남북,전망,金泳三,정부,대화,중단,남북관계,기본틀,과거,군사,독재,시절,대조적,국제정세,주변환경,近因,정부,대북정책,난조,遠因,원칙,중심,대북정책,추진,상황,즉흥적,대응,불신,동맹국간,회의,국민,혼란,야기,측면,李東馥,남북관계,비생산적,생각,4,11총선,판문점,무력시위,9월,한국측,나진,선봉,투자,설명회,참가,좌절,동해안,잠수,무장,공비,침투,남북관계,냉전시대,대결국면,환원,국내적,파동,안기부,金日成,사후,악화,경제난,주체사상,기초,남조선,혁명,노선,견지,한국,상대,대화,거부,미국,대화,고집,새해,경직,자세,전망,金正日,정점,현지도체제,변화,새해,남북관계,개선,전망,생각,남북관계,미북관계,이야기,외교협의회,위원,찰스,도란,미국,쿠바,미국,나라,쿠바,거래,나라,경제적,제재,햄스,버튼법,한국,한국,북미,대화,의심,무장간첩사건,반출입,거래량,3억,대화,거래,이야기,분단,민족,미국이,쿠바,경제봉쇄,근본적,입장,답변,곤혹,지경,4자,회담,상대,전략,봉쇄,회담,자체,성공,전략,응수차원,성격,남북관계,동결,북미,진전,견해,94년,제네바합의,의거,미국,대북,경유,지원,동결조치,KEDO,대북,경수로,지원,사업,잠수함사건,차질,설치,북미,연락,사무소,부지하세월,미국무성,중심,대두,연착륙,유도론,잠수함사건,계기,클린턴,재선,의회,공화당우위,행정부,대북접근,의회,견제,상황,정부측,희망적,전망,4자,회담,성사,전망,남북,주당사자,보조,역할,형태,4자,회담,수락,탈북자문제,제기,정부,인상,국회,통과,북한,이탈,주민,지원,연간,원씩,3년,1백억,원씩,1백,수용,시설,의미,탈북자,극소수,북한,이탈,주민,지원제도,북한주민들,대량유입,국제법,북주민,중국,일본,유입,1차,책임,UN,책임,해당국가,법때문,책임,탈북자문제,현시점,예상,장래,정부,급박,독일,비교,베를린장벽,62년,탈출,사태전,88년,서독,동독인들,56만,연평균,38만,합법,이주자,서독정부,적십자사,인수,정치범,제외,순수,동독탈출자,15만,연평균,70년,2백,정부,언론,탈북자문제,호들갑,중장기적,북한,주민,북한,변화,주도,유도,정책개발,시점,金日成,사후,金正日,권력승계,마무리,평가,당대회,16년,당대회,일각,金正日,매체,건재,시각,공산국가,권력속,소리,하루,사례,국가주석,당총,비서,추대,金曰成,후계,권력,체제,구축,공식적,침묵,일관,3년,거상,주장,주장,제기,金正日,최고권,취임,지연,원인,거상,기간,결부,주장,신뢰성,金正日,지병,풍설,난무,공무수행,지장,정도,건강,金正日,심화,경제난,수습,능력,金日成,유훈통치,상충기능성,난국,정권차원,정권,차원,정변가능성,배제,정부,통일방안,한민족,공동체,통일,방안,제시,근본적,반세기,분단,세계,나라,민족공동체,요소,유일,나라,통일,합목적성,부여,탈공산화,내부변화,전제,현실적,통일,실현,방안,중요,공산주의,종언,인내,실현성,통일방안,내부,분열,요한,변화,성숙,부담,여력,중요,통일,통일이전단계,통일실현단계,통일이후단계,구분,통일이전단계,남북,평화,공존,제도화,통일이후,통일,국민통합,확보,방안,마련,통일실현,시나라오,상정,시나라오,상정,합헌적,합법적,수용,법적,제도적,장치,마련,정부,대북정책,난조,지적,대통령,임기,대북정책,일관성,추진,대북,정책,추진,위주,업적주의,배격,변화,자극,인내,말씀,통일,완성품,추구,상황,인식,중요,정리","金正日,한국,남북관계,경제난,미국,연평균,국회의원,서울대,탈북자,북미,대북정책,金日成,쿠바,공동체,당대회,서독,완성품,원씩,잠수함사건,탈북자문제,4자,李東馥,梁性喆,통일방안,남조선,정치범,북주민,정권차원,한국일보,판문점"
1997-01-01,한국일보,"정부서도 집값,매물정보 제공",경제-부동산,"정부,집값,매물정보,제공,새해,값안정차원,언론,PC통신,정부,위주,주택,실수요자,거래,활성,가격,안정,방침,새해,주택가격,매물정보,파악,언론매체,개인컴퓨터,PC,통신,이용,소비자,제공,차관,건설,교통부,유상열,31일,기관,합동,서울,동향,수도,집값,점검,결과,매물정보,부족,집값,요인,새해,정부,주택가격,매물정보,파악,소비자들,제공,방안,강구,유차관,정보제공기관들,부동산,사설,정보,제공,기관,실거래가격,거래,호가,중심,정보,제공,결과적,집값,정부,소비자들,신뢰,주택,정보,제공,건교부,지역별,분양,주택,정보도,지역,제공,실수요자들,집마련,방침,건교부,관련부처,내년,정부,부처,지방,자치,단체,부동산,단체,망라,부동산,대책,회의,구체적,방안들,논의,계획,건교부,신뢰,주택매물정보,유통,원활,심리,요인,주택,가격,상승,억제,도움","건교부,부동산,실수요자,매물정보,주택가격,유상열,정보도,소비자,지역별,정보제공기관들,관련부처,소비자들,pc,개인컴퓨터,방안들,교통부,실거래가격,유차관,언론매체,서울,실거래,집마련,값안정차원,결과적,실수요자들,주택매물정보,pc통신,주택,제공,정부"
1997-01-01,문화일보,개헌론에 대한 입장(1997 한국 가야할길),정치-청와대,"개헌론,입장,한국,9.1%,대통령,지지,85.5%,내각,9.1%,연초,시작,대선정국,개헌론,이슈중,총재,자민련,김종필,주창,내각,개헌,김영삼,대통령,불가,임기,개헌,단순,대선정국,흐름,개헌론,부침,조사,전문직,인사,권력구조,85.5%,대통령,단임,유지,대통령,중임,개헌,지지,입장,대통령제,선호도,압도적,내각,개헌,지지,응답자,9.1%,2원,집정부제,개헌,희망,응답자,국민,대상,조사,결과,대조,대통령제,개헌,중임,의견,45.7%,유지,단임,의견,39.8%,눈길,결과,문화일보,11월,창간,일반인들,대상,여론,조사,결과,차이,52.2%,대통령중심제,30.7%,내각제,지지,비교,인사들,전문직,인사,일반인들,대통령제,지지,직군별,고위공직자,의사,과학자,변호사,경제인,문화,예술,언론인들,개헌,중임,선호,사회,노동,여성계,학계,단임제,현행,단임,선호,대조","내각제,대통령제,개헌론,전문직,응답자,대선정국,자민련,일반인들,김종필,일반인,단임제,과학자,변호사,경제인,공직자,고위공직자,여성계,언론인들,직군,권력구조,집정부제,인사들,언론인,문화일보"
